File_name	Sample_ID	Program	Sub-program	Lab	Species	Modality	Technique	Subspecimen_type	Data_type	File_type	Access	Checksum	Anatomical_site	Counts_pipeline	Read_aligner	Genome_build	Gene_set_release	BCDC_Project	BCDC_collection	CA_usage	CA_IC_id	CA_donor	CA_tissue_provider	Contact_email	Aspera_user	Aspera_dir	Validated_nemo_dir	Nemo_file_name	Released_URL	Identifier
NW_TX0055-5_S01_L003_I1_001.fastq.gz	M1TX_200721_153_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	788ad2801dd7df2807c04d8b5ca8ae21	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-5_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-5_S01_L003-001.fastq.tar	nemo:seq-6hjphdq
NW_TX0055-6_S01_L003_I1_001.fastq.gz	M1TX_200721_155_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	9457d69b80a2c03bbfbbb5938ba74ea7	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-6_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-6_S01_L003-001.fastq.tar	nemo:seq-46mecs8
NW_TX0064-3_S01_L003_I1_001.fastq.gz	M1TX_200813_154_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	9b072e0323781f793fd63ce12e64dc83	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-3_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-3_S01_L003-001.fastq.tar	nemo:seq-ag4mnrh
NW_TX0064-4_S01_L003_I1_001.fastq.gz	M1TX_200813_154_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	1348e351375a10e9a283b8726370a4b1	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-4_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-4_S01_L003-001.fastq.tar	nemo:seq-x1fiazx
NW_TX0064-5_S01_L003_I1_001.fastq.gz	M1TX_200813_155_G01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8d56768e2eee2a538b9faebf112a3ec9	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0064-5_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0064-5_S01_L003-001.fastq.tar	nemo:seq-dox1v3a
NW_TX0077-7_S01_L003_I1_001.fastq.gz	M1TX_200924_151_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	98a5e6e751726e8116502f134e8ad285	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-7_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-7_S01_L003-001.fastq.tar	nemo:seq-qb97z2f
NW_TX0077-8_S01_L003_I1_001.fastq.gz	M1TX_200924_151_E01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	6d99aec3b67c18163b43c511e20ccc9d	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0077-8_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0077-8_S01_L003-001.fastq.tar	nemo:seq-h0c1ffr
NW_TX0078-1_S01_L003_I1_001.fastq.gz	M1TX_200924_152_F01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	8e5d3c2984d2596d75820c6674220f18	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0078-1_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0078-1_S01_L003-001.fastq.tar	nemo:seq-g516m2g
NW_TX0090-11_S01_L003_I1_001.fastq.gz	M1TX_201104_159_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	2744006cebf62d74a5f25ae712536a42	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0090-11_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0090-11_S01_L003-001.fastq.tar	nemo:seq-jvqu8n8
NW_TX0092-7_S01_L003_I1_001.fastq.gz	M1TX_201104_160_C01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	54d5ddeb5b91e8d5a1f391dd79fdd8ab	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-7_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-7_S01_L003-001.fastq.tar	nemo:seq-isaya4u
NW_TX0092-8_S01_L003_I1_001.fastq.gz	M1TX_201104_160_D01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	0091719800190b2d846d752c2cec2b51	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0092-8_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0092-8_S01_L003-001.fastq.tar	nemo:seq-1g9y31h
NW_TX0055-4_S01_L003_I1_001.fastq.gz	M1TX_200721_151_A01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	a67e6e18da2a749a6f7f0b2b70a839b3	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-4_S01_L003_I1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-4_S01_L003-001.fastq.tar	nemo:seq-2f489zm
NW_TX0055-5_S01_L003_R1_001.fastq.gz	M1TX_200721_153_B01	biccn	U01_lein	lein	opossum	transcriptome	10x Chromium 3' v3 sequencing	nuclei	raw	fastq	open	d24a2059e02e7da5964ac4b783494235	M1C					lein_evo_10x_proj	lein_evo_10x_opposum					timd@alleninstitute.org	timdol.aibs	n0pDwDG	public/validated/brain/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw	NW_TX0055-5_S01_L003_R1_001.fastq.gz	https://data.nemoarchive.org/biccn/grant/u01_lein/lein/transcriptome/sncell/10x_v3/opossum/raw/NW_TX0055-5_S01_L003-001.fastq.tar	nemo:seq-6hjphdq
